0,1,2,3,4,5,6,7,8,9
Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Schindler's List (1993),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Monty Python and the Holy Grail (1975),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Godfather: Part II, The (1974)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)",Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Day of the Doctor, The (2013)"
Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Paths of Glory (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Double Indemnity (1944),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Hoop Dreams (1994),Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Goodfellas (1990),"Outlaw Josey Wales, The (1976)",Kelly's Heroes (1970),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967)
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Notorious (1946),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Monty Python and the Holy Grail (1975),Paths of Glory (1957),Lawrence of Arabia (1962),Apocalypse Now (1979),Fight Club (1999),"Three Billboards Outside Ebbing, Missouri (2017)"
Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)",Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),"Day of the Doctor, The (2013)"
In the Name of the Father (1993),His Girl Friday (1940),Secrets & Lies (1996),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Memento (2000),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",In Bruges (2008),Mary and Max (2009),"Three Billboards Outside Ebbing, Missouri (2017)"
Three Colors: Red (Trois couleurs: Rouge) (1994),"Streetcar Named Desire, A (1951)",Life Is Beautiful (La Vita è bella) (1997),"Grapes of Wrath, The (1940)","Boondock Saints, The (2000)",Double Indemnity (1944),"Hustler, The (1961)",Hedwig and the Angry Inch (2000),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Schindler's List (1993),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Godfather: Part II, The (1974)",Guess Who's Coming to Dinner (1967),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Brazil (1985),Lawrence of Arabia (1962),"Godfather: Part II, The (1974)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",American Beauty (1999),Yojimbo (1961),"Three Billboards Outside Ebbing, Missouri (2017)"
"Godfather, The (1972)","Philadelphia Story, The (1940)",His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Touch of Evil (1958),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Crumb (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Notorious (1946),Goodfellas (1990),"Boondock Saints, The (2000)","Outlaw Josey Wales, The (1976)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),Secrets & Lies (1996),Monty Python and the Holy Grail (1975),Lawrence of Arabia (1962),"Bridge on the River Kwai, The (1957)",Seven Samurai (Shichinin no samurai) (1954),American Beauty (1999),Guess Who's Coming to Dinner (1967)
Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",In the Name of the Father (1993),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Notorious (1946),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Boondock Saints, The (2000)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)",Grave of the Fireflies (Hotaru no haka) (1988),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)","Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Yojimbo (1961),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Notorious (1946),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),Paths of Glory (1957),12 Angry Men (1957),Lawrence of Arabia (1962),Ran (1985),"Godfather: Part II, The (1974)",Fight Club (1999),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Fight Club (1999),Double Indemnity (1944),Guess Who's Coming to Dinner (1967)
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)","Philadelphia Story, The (1940)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Man Bites Dog (C'est arrivé près de chez vous) (1992),Creature Comforts (1989),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)",Mary and Max (2009),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Rear Window (1954),Notorious (1946),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Lawrence of Arabia (1962),"Godfather: Part II, The (1974)",Fight Club (1999),Guess Who's Coming to Dinner (1967),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)","Three Billboards Outside Ebbing, Missouri (2017)"
In the Name of the Father (1993),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)","Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",His Girl Friday (1940),Secrets & Lies (1996),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Cool Hand Luke (1967),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Bridge on the River Kwai, The (1957)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Wallace & Gromit: The Best of Aardman Animation (1996),North by Northwest (1959),Casablanca (1942),"Streetcar Named Desire, A (1951)","Great Escape, The (1963)",Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)",Grave of the Fireflies (Hotaru no haka) (1988),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Celebration, The (Festen) (1998)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)",In Bruges (2008),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Three Billboards Outside Ebbing, Missouri (2017)"
Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Wallace & Gromit: The Best of Aardman Animation (1996),"Philadelphia Story, The (1940)",Rear Window (1954),North by Northwest (1959),Monty Python and the Holy Grail (1975),Goodfellas (1990),Fight Club (1999),"Departed, The (2006)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Fight Club (1999),Double Indemnity (1944),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Mary and Max (2009),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Lawrence of Arabia (1962),Apocalypse Now (1979),Touch of Evil (1958),Fight Club (1999),"Three Billboards Outside Ebbing, Missouri (2017)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Secrets & Lies (1996),Lawrence of Arabia (1962),Apocalypse Now (1979),"Godfather: Part II, The (1974)",Fight Club (1999),Eternal Sunshine of the Spotless Mind (2004),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Three Billboards Outside Ebbing, Missouri (2017)"
"Usual Suspects, The (1995)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967)
"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Monty Python and the Holy Grail (1975),Paths of Glory (1957),12 Angry Men (1957),Apocalypse Now (1979),Ran (1985),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
"Shawshank Redemption, The (1994)",Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Double Indemnity (1944),Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)","Boondock Saints, The (2000)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Fight Club (1999),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
Star Wars: Episode IV - A New Hope (1977),Wallace & Gromit: The Best of Aardman Animation (1996),Ghost in the Shell (Kôkaku kidôtai) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
"Philadelphia Story, The (1940)",Secrets & Lies (1996),Paths of Glory (1957),Ran (1985),"Boot, Das (Boat, The) (1981)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)",Eternal Sunshine of the Spotless Mind (2004),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)","Philadelphia Story, The (1940)",Singin' in the Rain (1952),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Day of the Doctor, The (2013)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Lawrence of Arabia (1962),Double Indemnity (1944),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)",Spotlight (2015)
"Philadelphia Story, The (1940)",Ran (1985),"Great Escape, The (1963)",Cool Hand Luke (1967),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Eternal Sunshine of the Spotless Mind (2004),"Departed, The (2006)",Mary and Max (2009),"Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Rear Window (1954),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Rebecca (1940),To Catch a Thief (1955),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Bridge on the River Kwai, The (1957)",Guess Who's Coming to Dinner (1967),"Hustler, The (1961)","Trial, The (Procès, Le) (1962)",Elite Squad (Tropa de Elite) (2007)
